region,channel,product_category,customer_segment,ad_spend,price,discount_rate,market_reach,impressions,click_through_rate,competition_index,seasonality_index,campaign_duration_days,customer_lifetime_value,sales_revenue,year,month,day,time_of_day,cost_per_impression,cost_per_click,reach_per_spend,value_ratio
North,Search,General,Standard,9.0,0.75,0.2782,32.0,817,0.001,3.34,0.9999999999999998,30.0,816.49,119.7678114888541,2011,12,5,morning,0.011015911872705019,11.015911872705017,3.5555555555555554,1088.6533333333334
North,Social Media,General,Premium,3.35,3.35,0.0912,61.0,2289,0.064,4.44,0.3660254037844389,90.0,1723.16,119.40466140445554,2011,4,27,afternoon,0.0014635211882918304,0.02286751856705985,18.208955223880597,514.3761194029851
North,Affiliate,General,Budget,2.55,2.55,0.1997,461.0,14697,0.1508,3.31,0.3660254037844379,21.0,1151.74,132.0097467605988,2010,11,9,afternoon,0.00017350479689732598,0.0011505623136427454,180.78431372549022,451.66274509803924
North,Affiliate,Storage,Premium,2.95,2.95,0.4767,744.0,17578,0.1965,2.87,-0.3660254037844385,90.0,3585.85,154.51175589761817,2010,10,3,afternoon,0.00016782341563317785,0.0008540631838838567,252.20338983050846,1215.5423728813557
North,Search,Lighting,Premium,15.0,1.25,0.3536,226.0,6280,0.02,7.4,-0.3660254037844385,90.0,502.28,128.05992410668216,2011,10,14,morning,0.0023885350318471337,0.11942675159235668,15.066666666666666,401.82399999999996
North,Email,General,Premium,79.19999999999999,1.65,0.0442,521.0,11484,0.021,3.83,-0.3660254037844385,30.0,32267.58,160.2164720315928,2011,10,28,morning,0.00689655172413793,0.32840722495894903,6.57828282828283,19556.109090909093
North,Affiliate,Stationery,Premium,10.08,0.42,0.0627,125.0,4495,0.1554,3.3,-1.0,30.0,20.16,181.46413709174084,2011,6,28,afternoon,0.0022424916573971078,0.014430448245798635,12.40079365079365,48.0
North,Social Media,Storage,Premium,11.25,3.75,0.2257,217.0,3438,0.1389,7.0,0.3660254037844379,60.0,987.36,144.6521074962225,2011,11,6,afternoon,0.0032722513089005235,0.023558324758103124,19.288888888888888,263.296
North,Search,Storage,Premium,17.0,8.5,0.204,168.0,3767,0.0316,2.92,0.3660254037844389,7.0,1517.25,93.58093259513586,2010,4,28,morning,0.004512874966817096,0.14281249894990808,9.882352941176471,178.5
North,Affiliate,Kitchen,Premium,11.9,0.85,0.1296,266.0,8803,0.0701,0.97,0.9999999999999998,21.0,319.26,204.2856706834431,2009,12,20,afternoon,0.0013518118823128479,0.01928404967636017,22.352941176470587,375.6
